"time","S","I","R","new_I","new_R"
0,196,4,0,4,0
0.5,194,5,1,2,1
1,193,6,1,1,0
1.5,189,8,3,4,2
2,182,14,4,7,1
2.5,176,20,4,6,0
3,167,26,7,9,3
3.5,161,31,8,6,1
4,148,43,9,13,1
4.5,134,53,13,14,4
5,123,59,18,11,5
5.5,101,75,24,22,6
6,90,82,28,11,4
6.5,73,94,33,17,5
7,60,97,43,13,10
7.5,50,101,49,10,6
8,40,107,53,10,4
8.5,27,110,63,13,10
9,23,102,75,4,12
9.5,19,102,79,4,4
10,11,101,88,8,9
10.5,8,95,97,3,9
11,8,84,108,0,11
11.5,4,80,116,4,8
12,4,75,121,0,5
12.5,3,65,132,1,11
13,3,61,136,0,4
13.5,3,55,142,0,6
14,1,51,148,2,6
14.5,0,49,151,1,3
15,0,47,153,0,2
15.5,0,45,155,0,2
16,0,43,157,0,2
16.5,0,38,162,0,5
17,0,35,165,0,3
17.5,0,32,168,0,3
18,0,31,169,0,1
18.5,0,28,172,0,3
19,0,27,173,0,1
19.5,0,21,179,0,6
20,0,18,182,0,3
20.5,0,18,182,0,0
21,0,17,183,0,1
21.5,0,16,184,0,1
22,0,14,186,0,2
22.5,0,13,187,0,1
23,0,10,190,0,3
23.5,0,10,190,0,0
24,0,10,190,0,0
24.5,0,8,192,0,2
25,0,8,192,0,0
25.5,0,8,192,0,0
26,0,8,192,0,0
26.5,0,8,192,0,0
27,0,8,192,0,0
27.5,0,7,193,0,1
28,0,7,193,0,0
28.5,0,7,193,0,0
29,0,7,193,0,0
29.5,0,7,193,0,0
30,0,6,194,0,1
30.5,0,5,195,0,1
31,0,5,195,0,0
31.5,0,5,195,0,0
32,0,5,195,0,0
32.5,0,5,195,0,0
33,0,3,197,0,2
33.5,0,3,197,0,0
34,0,3,197,0,0
34.5,0,3,197,0,0
35,0,3,197,0,0
35.5,0,3,197,0,0
36,0,3,197,0,0
36.5,0,3,197,0,0
37,0,3,197,0,0
37.5,0,3,197,0,0
38,0,3,197,0,0
38.5,0,3,197,0,0
39,0,2,198,0,1
39.5,0,2,198,0,0
40,0,2,198,0,0
40.5,0,2,198,0,0
41,0,1,199,0,1
41.5,0,1,199,0,0
42,0,1,199,0,0
42.5,0,1,199,0,0
43,0,1,199,0,0
43.5,0,0,200,0,1
44,0,0,200,0,0
44.5,0,0,200,0,0
45,0,0,200,0,0
45.5,0,0,200,0,0
46,0,0,200,0,0
46.5,0,0,200,0,0
47,0,0,200,0,0
47.5,0,0,200,0,0
48,0,0,200,0,0
48.5,0,0,200,0,0
49,0,0,200,0,0
49.5,0,0,200,0,0
50,0,0,200,0,0
50.5,0,0,200,0,0
51,0,0,200,0,0
51.5,0,0,200,0,0
52,0,0,200,0,0
52.5,0,0,200,0,0
53,0,0,200,0,0
53.5,0,0,200,0,0
54,0,0,200,0,0
54.5,0,0,200,0,0
55,0,0,200,0,0
55.5,0,0,200,0,0
56,0,0,200,0,0
56.5,0,0,200,0,0
57,0,0,200,0,0
57.5,0,0,200,0,0
58,0,0,200,0,0
58.5,0,0,200,0,0
59,0,0,200,0,0
59.5,0,0,200,0,0
60,0,0,200,0,0
60.5,0,0,200,0,0
61,0,0,200,0,0
61.5,0,0,200,0,0
62,0,0,200,0,0
62.5,0,0,200,0,0
63,0,0,200,0,0
63.5,0,0,200,0,0
64,0,0,200,0,0
64.5,0,0,200,0,0
65,0,0,200,0,0
65.5,0,0,200,0,0
66,0,0,200,0,0
66.5,0,0,200,0,0
67,0,0,200,0,0
67.5,0,0,200,0,0
68,0,0,200,0,0
68.5,0,0,200,0,0
69,0,0,200,0,0
69.5,0,0,200,0,0
70,0,0,200,0,0
70.5,0,0,200,0,0
71,0,0,200,0,0
71.5,0,0,200,0,0
72,0,0,200,0,0
72.5,0,0,200,0,0
73,0,0,200,0,0
73.5,0,0,200,0,0
74,0,0,200,0,0
74.5,0,0,200,0,0
75,0,0,200,0,0
75.5,0,0,200,0,0
76,0,0,200,0,0
76.5,0,0,200,0,0
77,0,0,200,0,0
77.5,0,0,200,0,0
78,0,0,200,0,0
78.5,0,0,200,0,0
79,0,0,200,0,0
79.5,0,0,200,0,0
80,0,0,200,0,0
